station,lon,lat,disp,year,Amplitude,Peak_DoY,Min_DoY,Time_MintoPeak
PAMI,"29   -49.670967
Name: longitude, dtype: float64","29    62.011567
Name: latitude, dtype: float64",Vertical,2021,12.222186069709494,7,115,108
PAMI,"29   -49.670967
Name: longitude, dtype: float64","29    62.011567
Name: latitude, dtype: float64",Vertical,2022,13.178750561938482,295,171,124
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2014,18.056930485946165,357,172,185
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2015,13.719867523041447,0,161,161
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2016,15.624763091374042,364,120,244
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2017,15.436043952066075,13,141,128
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2018,6.228666473962685,299,146,153
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2019,13.879083472464748,282,133,149
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2020,9.863010961230234,246,127,119
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2021,12.344521387258997,260,116,144
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2022,7.481541704115044,273,173,100
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2023,8.63471427958422,251,172,79
SISI,"30   -53.672864
Name: longitude, dtype: float64","30    66.934306
Name: latitude, dtype: float64",Vertical,2024,8.80356713763348,316,171,145
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2008,18.745876468978103,244,122,122
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2009,12.494813610122257,324,107,217
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2010,11.89817723914084,306,86,220
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2015,13.188077562323,258,169,89
DKSG,"31   -61.677658
Name: longitude, dtype: float64","31    76.351619
Name: latitude, dtype: float64",Vertical,2016,11.299962778060307,59,121,62
